Mode Name,Default,Linac and LTB,Booster,BTS,SR Injection,SR Inj Prep,SR Tunes,Topoff Intlk Testing,AR injection,EVT,,,Time Stamp Location Mode Name,Default,Linac and LTB,Booster,BTS,SR Injection,SR Inj Prep,SR Tunes,Topoff Intlk Testing,AR injection,Category Mode Name,Default,Linac and LTB,Booster,BTS,SR Injection,SR Inj Prep,SR Tunes,Topoff Intlk Testing,AR injection,,,Gen,Output,,,,BPM,HSD
SR Bump Trigger,,,,,x,,x,,,60,11,,,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSyncAR,,,,,,,,,,,S0123,1,0,FPUV0,Fine 0,UDC0,,,
SR Septa Scope,,,,,x,,,,,62,12,,,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSyncAR,,,,,,,,,,,S0123,1,4,FP1,TTL Front 1,,"Not in use, can repurpose",,
SR Thin Septum Trigger,,,,,x,,,,,64,13,,,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSyncAR,,,,,,,,,,,S0123,1,1,FPUV1,Fine 1,UDC1,,,
SR Thick Septum Trigger,,,,,x,,,,,66,14,,,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSyncAR,,,,,,,,,,,S0123,1,2,FPUV2,Fine 2,UDC2,,x,
Post SR Injection,,,,,x,,,,,68,0,2500000,,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSyncAR,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,,Extraction + 20 ms,,
Post SR Injection Continuous,x,x,x,x,x,x,x,x,x,70,1,2500000,,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSyncAR,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,,After every booster cycle w/ or w/o injected electrons,x,
Post SR Injection FB Trigger,x,x,x,x,x,x,x,x,x,72,0,84375000,,ExtrFieldSync,ExtrFieldSync,ExtrFieldSync,ExtrFieldSync,ExtrFieldSync,ExtrFieldSync,ExtrFieldSync,ExtrFieldSync,ExtrFieldSyncAR,,,,,,,,,,,S0222,n/a,n/a,n/a,n/a,,Extraction + 675 ms,,
AR Kicker Pre-trigger #1,,,,,,,,,x,90,10,,,ExtrFieldSync,ExtrFieldSync,ExtrFieldSync,ExtrFieldSync,ExtrFieldSync,ExtrFieldSync,ExtrFieldSync,ExtrFieldSync,ExtrFieldSyncAR,,,,,,,,,,3,,,,,,,,,
AR Kicker Pre-trigger #2,,,,,,,,,x,90,11,,,ExtrFieldSync,ExtrFieldSync,ExtrFieldSync,ExtrFieldSync,ExtrFieldSync,ExtrFieldSync,ExtrFieldSync,ExtrFieldSync,ExtrFieldSyncAR,,,,,,,,,,3,,,,,,,,,
AR Kicker trigger,,,,,,,,,x,90,12,,,ExtrFieldSync,ExtrFieldSync,ExtrFieldSync,ExtrFieldSync,ExtrFieldSync,ExtrFieldSync,ExtrFieldSync,ExtrFieldSync,ExtrFieldSyncAR,,,,,,,,,,3,,,,,,,,,
AR Thin Septum Trigger,,,,,,,,,x,92,13,,,ExtrFieldSync,ExtrFieldSync,ExtrFieldSync,ExtrFieldSync,ExtrFieldSync,ExtrFieldSync,ExtrFieldSync,ExtrFieldSync,ExtrFieldSyncAR,,,,,,,,,,3,,,,,,,,,
AR Thick Septum Trigger,,,,,,,,,x,94,14,,,ExtrFieldSync,ExtrFieldSync,ExtrFieldSync,ExtrFieldSync,ExtrFieldSync,ExtrFieldSync,ExtrFieldSync,ExtrFieldSync,ExtrFieldSyncAR,,,,,,,,,,3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End of Sequence,x,x,x,x,x,x,x,x,x,127,0,,,End of event sequence,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes:,Evt 38 is also important in the dual EVG as the end marker to send a new TimInjReq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31.25 ticks is 250 nsec which is the BR revolution period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diagnostic triggers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOE Kicker Trigger,Event code number(s) set by the client.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0220,1,0,FPUV0,Fine 0,UDC0,,,
LFB Trigger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0220,1,1,FP0,TTL Front 0,,,,
TFB-Y Trigger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0220,1,2,FP1,TTL Front 1,,,,
TFB-X Trigger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0220,1,3,FP2,TTL Front 2,,,,
S02 BLM Trigger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0220,1,4,FP3,TTL Front 3,,,,
LI11 Prog1 Mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LI11,1,13,RB05,TTL Rear 05,,,,
LI11 Prog2 Mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LI11,2,7,FP0,TTL Front 0,,,,
B0215 Prog1 Mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B0215,1,12,RB08,TTL Rear 08,,,,
B0215 Prog2 Mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B0215,1,13,RB09,TTL Rear 09,,,,
S0817 Prog1 Mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0817,1,1,FPUV1,Fine 1,UDC1,,,
S0817 Prog2 Mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0817,1,5,FP3,TTL Front 3,,,,
S0123 Prog1 Mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0123,1,5,FP2,TTL Front 2,,,,
S0123 Prog2 Mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0123,1,7,FPUV3,Fine 3,UDC3,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Added for BR Sext Ramping using IRMs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ztec scopes decommissioned.  Some of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
these triggers have been repurposed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
for IRM ramping. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
